date,direction,entry,stop,take,exit_price,result,pnl
2026-01-09,SHORT,83246.0,83373.0,82992.0,82992.0,win,254.0
2026-01-12,LONG,82931.0,82508.0,83777.0,82790.0,timeout(loss),-141.0
2026-01-13,SHORT,82838.0,83140.0,82234.0,82813.0,timeout(win),25.0
2026-01-14,SHORT,82849.0,83100.0,82347.0,82347.0,win,502.0
2026-01-15,SHORT,82238.0,82500.0,81714.0,82500.0,loss,-262.0
2026-01-16,LONG,81720.0,81480.0,82200.0,82159.0,timeout(win),439.0
2026-01-19,LONG,82131.0,81890.0,82613.0,81890.0,loss,-241.0
2026-01-20,SHORT,81563.0,81697.0,81295.0,81697.0,loss,-134.0
2026-01-21,SHORT,81574.0,81910.0,80902.0,80902.0,win,672.0
2026-01-22,SHORT,79963.0,80458.0,78973.0,79394.0,timeout(win),569.0
2026-01-23,LONG,79515.0,79324.0,79897.0,79491.0,timeout(loss),-24.0
2026-01-26,SHORT,79238.0,79507.0,78700.0,79507.0,loss,-269.0
2026-01-27,SHORT,80206.0,80609.0,79400.0,79620.0,timeout(win),586.0
2026-01-28,LONG,79569.0,79200.0,80307.0,80008.0,timeout(win),439.0
2026-01-29,SHORT,79588.0,79836.0,79092.0,79836.0,loss,-248.0
2026-01-30,LONG,79028.0,78810.0,79464.0,79464.0,win,436.0
2026-02-02,LONG,80200.0,79877.0,80846.0,80846.0,win,646.0
2026-02-03,LONG,80205.0,80013.0,80589.0,80013.0,loss,-192.0
2026-02-04,SHORT,80450.0,80602.0,80146.0,80146.0,win,304.0
2026-02-05,SHORT,79276.0,79890.0,78048.0,79890.0,loss,-614.0
2026-02-06,SHORT,79750.0,79997.0,79256.0,79997.0,loss,-247.0
2026-02-09,SHORT,79935.0,80250.0,79305.0,80250.0,loss,-315.0
2026-02-10,LONG,80031.0,79767.0,80559.0,79767.0,loss,-264.0
2026-02-11,LONG,80010.0,79891.0,80248.0,79891.0,loss,-119.0
2026-02-12,SHORT,79597.0,79678.0,79435.0,79678.0,loss,-81.0
2026-02-13,SHORT,79497.0,79615.0,79261.0,79261.0,win,236.0
2026-02-16,SHORT,78611.0,78747.0,78339.0,78339.0,win,272.0
2026-02-17,SHORT,78707.0,78929.0,78263.0,78263.0,win,444.0
2026-02-18,SHORT,78100.0,78220.0,77860.0,77860.0,win,240.0
2026-02-19,SHORT,78500.0,78740.0,78020.0,78020.0,win,480.0
2026-02-20,LONG,77920.0,77790.0,78180.0,77790.0,loss,-130.0
2026-02-24,SHORT,78003.0,78200.0,77609.0,77609.0,win,394.0
2026-02-25,SHORT,77280.0,77420.0,77000.0,77420.0,loss,-140.0
